word,frequency
food,129861
good,118268
place,112818
great,109760
service,83060
time,80373
just,80274
like,78218
really,57022
ve,49561
got,48061
best,43628
nice,43617
don,42322
ordered,41151
staff,41057
order,40478
did,38283
friendly,37018
restaurant,36793
love,36610
came,36590
delicious,36490
didn,35517
chicken,34759
went,34641
definitely,33764
try,33626
little,33610
people,32366
experience,32227
new,31954
amazing,31744
come,31291
menu,30892
make,29324
said,28486
day,28093
bar,27441
recommend,27216
wait,27196
know,26720
going,26517
way,26508
better,26001
pretty,25344
right,24805
cheese,24206
pizza,24020
night,23770
want,23614
told,23556
fresh,23489
area,23345
sure,22961
minutes,22831
say,22539
took,22101
table,21578
sauce,21520
eat,21476
times,21307
asked,20919
work,20505
think,20491
location,19732
meal,19709
small,19662
ll,19559
salad,19452
room,19440
wasn,19336
lunch,19156
drinks,18943
dinner,18775
bad,18764
lot,18622
price,18548
home,18325
long,18317
super,18127
bit,18120
tried,17738
excellent,17504
hot,17423
customer,17247
awesome,17002
favorite,16987
wanted,16655
clean,16544
happy,16405
looking,16328
worth,16241
visit,16041
need,15872
coffee,15867
beer,15729
server,15710
atmosphere,15589
feel,15588
years,15313
different,15312
store,15189
sandwich,15044
called,15015
fries,14969
things,14897
check,14852
thing,14846
car,14740
prices,14724
drink,14660
perfect,14618
away,14576
left,14513
big,14480
hour,14350
stars,14342
fried,14255
quality,14244
breakfast,14179
spot,14092
flavor,14072
sweet,13951
highly,13691
family,13548
shrimp,13292
burger,13165
taste,13087
look,12836
bread,12823
tasty,12694
friends,12603
old,12576
business,12488
special,12407
places,12346
overall,12338
loved,12322
free,12288
meat,12268
kind,12222
coming,12200
manager,12122
getting,12051
let,12046
selection,12037
husband,12032
friend,12004
large,11933
ask,11844
house,11675
care,11665
inside,11567
outside,11538
enjoyed,11431
used,11408
decided,11387
fun,11375
gave,11296
actually,11286
job,11258
half,11192
busy,11182
disappointed,11160
parking,11149
wonderful,11149
ok,11144
probably,11117
thought,11072
review,11041
customer service,11034
huge,11013
open,10985
waitress,10963
options,10949
absolutely,10943
cream,10940
line,10912
rice,10742
use,10647
pork,10579
money,10564
items,10563
dish,10518
town,10496
sushi,10397
looked,10378
maybe,10375
needed,10271
tell,10237
steak,10220
quick,10206
helpful,10196
waiting,10173
owner,10159
having,10153
hard,10109
cooked,10093
fish,10092
wine,10083
week,10075
local,10022
highly recommend,10016
able,9995
quite,9991
soup,9969
fast,9947
water,9940
hours,9902
today,9902
fantastic,9871
shop,9836
won,9805
served,9776
enjoy,9763
person,9739
couldn,9709
couple,9677
far,9662
reviews,9660
hotel,9649
finally,9616
high,9567
tables,9549
pay,9546
stop,9483
usually,9447
wife,9401
ice,9335
later,9251
street,9238
spicy,9160
extremely,9147
tasted,9105
especially,9104
trying,9102
year,9028
dishes,8975
star,8933
days,8932
cold,8857
beef,8829
walk,8779
help,8778
felt,8763
second,8740
wrong,8714
walked,8707
return,8704
door,8677
eating,8656
tacos,8654
point,8635
brought,8590
end,8575
cool,8499
pm,8428
hair,8403
dining,8324
started,8300
close,8277
phone,8273
music,8261
city,8255
decent,8244
extra,8183
arrived,8165
stay,8119
